hy,Unnamed: 0,pred,tweet_text,label_y,new_label,new_label_2,count
609,1586,482,eu sonhei q eu e a xara foi num bar japones e tinha uns meninos lindo sentando bem colado na gente e eu simplesmente estava usando minha touqinha de cetim vermelha no meio de gente,col,colado,cola colou colado colo colocou colar colava,1
610,1836,482,sonhei que tinha um coala de estimacao que no meu colo,col,colo,cola colou colado colo colocou colar colava,1
611,2329,482,sonhei que tinha brigado em um festa com um menina ela tava provocando e com deboche pra cima de mim eu nao ia fazer nada mas ela meio que queria me da um empurrao e so colocou a mao logo eu disse que se ela fizesse de novo eu ia quebrar a cara dela ela entao colou,col,colocou colou,cola colou colado colo colocou colar colava,1
612,2863,482,sonhei que um sapo queria ser adotado por mim ele ficava me seguindo e pulando no meu colo toda hora,col,colo,cola colou colado colo colocou colar colava,1
613,3029,482,eu sonhei que tava com uma o tempo todo no colo lakakkakakakaka,col,colo,cola colou colado colo colocou colar colava,1
614,3243,482,sonhei que eu tava com um menininho no colo alguem vai aparecer gravida,col,colo,cola colou colado colo colocou colar colava,1
615,3444,482,eu sonhei com o rhys eu pedia o rhys em casamento com um colar de prata eu era o taika,col,colar,cola colou colado colo colocou colar colava,1
616,3565,482,eu sonhei que uma menina sentou no colo do meu namorado no shopping e eu simplesmente bati nela,shopping,shopping,shopping,1
617,3655,482,sonhei que o bronny james colava la na fatima pra gente bater um basquete,col,colava,cola colou colado colo colocou colar colava,1
618,4057,482,eu sonhei com esse colar hj juro por tudo,col,colar,cola colou colado colo colocou colar colava,1
1399,858,198,sonhei que tava comendo rodizios de japa to passando vontade,comida japonesa e peixe,japa,japa japonesa peixe sushi,1
1400,1427,198,sonhei q tava comendo japa,comida japonesa e peixe,japa,japa japonesa peixe sushi,1
1401,4028,198,sonhei com aquela japa q odio,comida japonesa e peixe,japa,japa japonesa peixe sushi,1
1402,1215,165,sonhei que eu tinha mudado pro japao e ia casar com uma japonesa dos seios,comida japonesa e peixe,japonesa,japa japonesa peixe sushi,1
1403,1889,165,sonhei com comida japonesa essa noite e so me deu mais vontade de comer,comida japonesa e peixe,japonesa,japa japonesa peixe sushi,1
2526,1030,220,eu sonhei com sushi cara estou precisando comer sushi,comida japonesa e peixe,sushi sushi,japa japonesa peixe sushi,1
2527,1591,220,sonhei que tinha comido sushi,comida japonesa e peixe,sushi,japa japonesa peixe sushi,1
2528,3039,220,sonhei que tava comendo sushi agora to com vontade,comida japonesa e peixe,sushi,japa japonesa peixe sushi,1
2529,3806,220,sonhei q tava comendo sushi q inferno,comida japonesa e peixe,sushi,japa japonesa peixe sushi,1
1932,1954,269,sonhei comprando tantas coisas e acordei sem nada,compras,comprando,comprando,1
624,123,245,sonhei com voce nem te conto como,cont,conto,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
625,910,245,sonhei com o dylan dnv se preparem pra fanfic que vou contar pra voces besties,cont,contar,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
626,1110,245,sonhei com um bofinho q converso mas n sei se conto pra ele,cont,conto,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
627,1154,245,sonhei cm uma menina q conheco so pelas redes sociais chamei ela pra contar ela visualizou e me ignorou,cont,contar,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
628,1275,245,sonhei com ele me contando que estava ficando com outra acordei chorando,cont,contando,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
629,1322,245,sonhei que o twt tinha tirado minha conta yoin da suspensao,cont,conta,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
